Accession	Cultivar	Phenotype
SRR6157682	Gafford	protandrous
SRR6157683	Giles	protandrous
SRR6157684	GloriaGrande	protogynous
SRR6157685	GraTex	protogynous
SRR6157686	Greenriver	protogynous
SRR6157687	Halbert	protandrous
SRR6157688	Harper	protogynous
SRR6157689	Hirschi	protogynous
SRR6157690	Hodge	protogynous
SRR6157691	Hopi	protogynous
SRR6157694	Posey	protogynous
SRR6157695	Peruque	protandrous
SRR6157696	Riverside	protogynous
SRR6157697	Risien1	protandrous
SRR6157698	Odom	protogynous
SRR6157699	Oconee	protandrous
SRR6157700	Pawnee	protandrous
SRR6157701	Pabst	protandrous
SRR6157716	Major	protandrous
SRR6157719	Navaho	protandrous
SRR6157720	Nugget	protogynous
SRR6157721	Mount	protogynous
SRR6157722	Nacono	protogynous
SRR6157723	Moore	protandrous
SRR6157724	Moreland	protogynous
SRR6157725	Mobile	protandrous
SRR6157726	Moneymaker	protogynous
SRR6157728	McMillan	protogynous
SRR6157729	Caddo	protandrous
SRR6157730	Byrd	protandrous
SRR6157731	Apalachee	protandrous
SRR6157732	Apache	protogynous
SRR6157733	Amling	protandrous
SRR6157734	Alley	protandrous
SRR6157735	Burkett	protogynous
SRR6157736	Brooks	protogynous
SRR6157737	Brake	protandrous
SRR6157738	Barton	protandrous
SRR6157739	VC1-68	protandrous
SRR6157740	VanDeman	protogynous
SRR6157741	Tejas	protogynous
SRR6157742	Sumner	protogynous
SRR6157743	Zinner	protogynous
SRR6157744	Wichita	protogynous
SRR6157745	Western	protandrous
SRR6157746	Waco	protandrous
SRR6157749	Stuart	protogynous
SRR6157750	Success	protandrous
SRR6157751	Shawnee	protogynous
SRR6157752	Shoshoni	protogynous
SRR6157753	Sioux	protogynous
SRR6157754	StarkingHardyGiant	protandrous
SRR6157756	SanSaba	protandrous
SRR6157757	SanSabaImproved	protandrous
SRR6157758	Schley	protogynous
SRR6157759	Curtis	protogynous
SRR6157760	Creek	protandrous
SRR6157761	Desirable	protandrous
SRR6157762	Dependable	protogynous
SRR6157763	Elliott	protogynous
SRR6157764	Eclipse	protandrous
SRR6157765	Excel	protogynous
SRR6157766	Evers	protogynous
SRR6157767	Forkert	protogynous
SRR6157768	Farley	protogynous
SRR6157769	Cherokee	protandrous
SRR6157770	Cherryle	protogynous
SRR6157771	CapeFear	protandrous
SRR6157772	Carmichael	protogynous
SRR6157774	ClarkII	protogynous
SRR6157775	Chickasaw	protogynous
SRR6157776	Choctaw	protogynous
SRR6157777	Colby	protogynous
SRR6157778	Comanche	protogynous
SRR6157779	Lipan	protandrous
SRR6157780	Lakota	protogynous
SRR6157781	Kiowa	protogynous
SRR6157782	Kernodle	protogynous
SRR6157783	Kanza	protogynous
SRR6157784	Jackson	protandrous
SRR6157785	IdealBradley	protogynous
SRR6157786	Houma	protandrous
SRR6157787	Mahan	protogynous
